,product_key,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategory_key,subcategory,category_key,category,margin
0,1,Contoso 512MB MP3 Player E51 Silver,Contoso,Silver,6.62,12.99,101,MP4&MP3,1,Audio,6.37
1,2,Contoso 512MB MP3 Player E51 Blue,Contoso,Blue,6.62,12.99,101,MP4&MP3,1,Audio,6.37
2,3,Contoso 1G MP3 Player E100 White,Contoso,White,7.4,14.52,101,MP4&MP3,1,Audio,7.119999999999999
3,4,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,11.0,21.57,101,MP4&MP3,1,Audio,10.57
4,5,Contoso 2G MP3 Player E200 Red,Contoso,Red,11.0,21.57,101,MP4&MP3,1,Audio,10.57
5,6,Contoso 2G MP3 Player E200 Black,Contoso,Black,11.0,21.57,101,MP4&MP3,1,Audio,10.57
6,7,Contoso 2G MP3 Player E200 Blue,Contoso,Blue,11.0,21.57,101,MP4&MP3,1,Audio,10.57
7,8,Contoso 4G MP3 Player E400 Silver,Contoso,Silver,30.58,59.99,101,MP4&MP3,1,Audio,29.410000000000004
8,9,Contoso 4G MP3 Player E400 Black,Contoso,Black,30.58,59.99,101,MP4&MP3,1,Audio,29.410000000000004
9,10,Contoso 4G MP3 Player E400 Green,Contoso,Green,30.58,59.99,101,MP4&MP3,1,Audio,29.410000000000004
10,11,Contoso 4G MP3 Player E400 Orange,Contoso,Orange,30.58,59.99,101,MP4&MP3,1,Audio,29.410000000000004
11,12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,35.72,77.68,101,MP4&MP3,1,Audio,41.96000000000001
12,13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Black,35.72,77.68,101,MP4&MP3,1,Audio,41.96000000000001
13,14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Silver,35.72,77.68,101,MP4&MP3,1,Audio,41.96000000000001
14,15,Contoso 4GB Flash MP3 Player E401 White,Contoso,White,35.72,77.68,101,MP4&MP3,1,Audio,41.96000000000001
15,16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,White,50.56,109.95,101,MP4&MP3,1,Audio,59.39
16,17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,Red,50.56,109.95,101,MP4&MP3,1,Audio,59.39
17,18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,Green,50.56,109.95,101,MP4&MP3,1,Audio,59.39
18,19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,Pink,50.56,109.95,101,MP4&MP3,1,Audio,59.39
19,20,Contoso 8GB MP3 Player new model M820 Black,Contoso,Black,61.62,134.0,101,MP4&MP3,1,Audio,72.38
20,21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,Blue,61.62,134.0,101,MP4&MP3,1,Audio,72.38
21,22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,Yellow,61.62,134.0,101,MP4&MP3,1,Audio,72.38
22,23,Contoso 8GB MP3 Player new model M820 White,Contoso,White,61.62,134.0,101,MP4&MP3,1,Audio,72.38
23,24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,91.93,199.9,101,MP4&MP3,1,Audio,107.97
